id,trace_id,arrival_unix_ns,service_start_unix_ns,service_end_unix_ns,response_end_unix_ns,queue_ms,service_ms,response_ms,status_code,bytes_written
14232,541,1774346170338494251,1774346170338503517,1774346170339577508,1774346170339586098,0.009,1.074,1.092,200,3
14233,546,1774346170340018332,1774346170340021100,1774346170342555854,1774346170342592315,0.003,2.535,2.574,200,3
14234,544,1774346170342897774,1774346170342900922,1774346170344578414,1774346170344641490,0.003,1.677,1.744,200,3
14235,547,1774346170345319371,1774346170345348479,1774346170345987268,1774346170345992424,0.029,0.639,0.673,200,3
14236,549,1774346170346159379,1774346170346161894,1774346170356856251,1774346170356895597,0.003,10.694,10.736,200,3
14237,550,1774346170357630579,1774346170357635714,1774346170358583416,1774346170358602878,0.005,0.948,0.972,200,3
14238,553,1774346170359642828,1774346170359647455,1774346170360301987,1774346170360318501,0.005,0.655,0.676,200,3
14239,548,1774346170360617282,1774346170360621878,1774346170361466767,1774346170361538391,0.005,0.845,0.921,200,3
14240,551,1774346170361777435,1774346170361781048,1774346170363573207,1774346170363770782,0.004,1.792,1.993,200,3
14241,552,1774346170364103953,1774346170364109173,1774346170364821561,1774346170364876269,0.005,0.712,0.772,200,3
14242,554,1774346170393034108,1774346170393042940,1774346170395431447,1774346170395469662,0.009,2.389,2.436,200,3
14243,557,1774346170406265712,1774346170406275844,1774346170407346254,1774346170407383371,0.010,1.070,1.118,200,3
14244,555,1774346170411125024,1774346170411134967,1774346170412230258,1774346170412253217,0.010,1.095,1.128,200,3
14245,556,1774346170416540773,1774346170416547789,1774346170422546968,1774346170422586378,0.007,5.999,6.046,200,3
14246,559,1774346170429316683,1774346170429326646,1774346170431672975,1774346170431702167,0.010,2.346,2.385,200,3
14247,558,1774346170435496163,1774346170435503485,1774346170436719603,1774346170436745193,0.007,1.216,1.249,200,3
14248,561,1774346170437243250,1774346170437248532,1774346170438524029,1774346170438547622,0.005,1.276,1.304,200,3
14249,562,1774346170439445603,1774346170439450970,1774346170441823808,1774346170441852430,0.005,2.373,2.407,200,3
14250,563,1774346170444674717,1774346170444681881,1774346170447933693,1774346170447998163,0.007,3.252,3.324,200,3
14251,560,1774346170450289964,1774346170450295679,1774346170456253088,1774346170456281932,0.006,5.957,5.992,200,3
14252,565,1774346170459050774,1774346170459056416,1774346170460099419,1774346170460115458,0.006,1.043,1.065,200,3
14253,566,1774346170460489718,1774346170460497991,1774346170462760230,1774346170462789739,0.008,2.262,2.300,200,3
14254,567,1774346170466668037,1774346170466676204,1774346170467032778,1774346170467044168,0.008,0.357,0.376,200,3
14255,564,1774346170467867751,1774346170467873774,1774346170470234277,1774346170470262973,0.006,2.361,2.395,200,3
14256,569,1774346170471689297,1774346170471696016,1774346170474131893,1774346170474213870,0.007,2.436,2.525,200,3
14257,568,1774346170474794908,1774346170474800223,1774346170476309406,1774346170476334161,0.005,1.509,1.539,200,3
14258,570,1774346170490628753,1774346170490637301,1774346170492645440,1774346170492669413,0.009,2.008,2.041,200,3
