id,trace_id,arrival_unix_ns,service_start_unix_ns,service_end_unix_ns,response_end_unix_ns,queue_ms,service_ms,response_ms,status_code,bytes_written
5824,1149,1774346081596645228,1774346081596653914,1774346081597039303,1774346081597054012,0.009,0.385,0.409,200,3
5825,1151,1774346081610903433,1774346081610947963,1774346081611779173,1774346081611792033,0.045,0.831,0.889,200,3
5826,1150,1774346081620304805,1774346081620311653,1774346081621500694,1774346081621527048,0.007,1.189,1.222,200,3
5827,1152,1774346081629680785,1774346081629689027,1774346081631001331,1774346081631026808,0.008,1.312,1.346,200,3
5828,1154,1774346081635664969,1774346081635675610,1774346081637132873,1774346081637204760,0.011,1.457,1.540,200,3
5829,1153,1774346081653647180,1774346081653653140,1774346081653974968,1774346081653985968,0.006,0.322,0.339,200,3
5830,1155,1774346081665745138,1774346081665757163,1774346081666078558,1774346081666089051,0.012,0.321,0.344,200,3
5831,1156,1774346081668717200,1774346081668725347,1774346081670025807,1774346081670048452,0.008,1.301,1.331,200,3
5832,1157,1774346081672169644,1774346081672173882,1774346081673844883,1774346081673851931,0.004,1.671,1.682,200,3
5833,1158,1774346081686333878,1774346081686342659,1774346081687571474,1774346081687586690,0.009,1.229,1.253,200,3
5834,1159,1774346081690845753,1774346081690849789,1774346081691656263,1774346081691671183,0.004,0.807,0.826,200,3
5835,1160,1774346081694875012,1774346081694882736,1774346081696181547,1774346081696197556,0.008,1.299,1.323,200,3
5836,1161,1774346081698449325,1774346081698453403,1774346081699143513,1774346081699150741,0.004,0.690,0.701,200,3
5837,1162,1774346081710314840,1774346081710322237,1774346081710982970,1774346081711000945,0.007,0.661,0.686,200,3
5838,1163,1774346081711480950,1774346081711484881,1774346081712214511,1774346081712232253,0.004,0.730,0.751,200,3
5839,1164,1774346081761168936,1774346081761176333,1774346081761746623,1774346081761756894,0.007,0.570,0.588,200,3
5840,1165,1774346081769340155,1774346081769349645,1774346081770529872,1774346081770546579,0.009,1.181,1.206,200,3
5841,1166,1774346081787865431,1774346081787874973,1774346081788814622,1774346081788833569,0.010,0.940,0.968,200,3
5842,1167,1774346081796006271,1774346081796014334,1774346081797382073,1774346081797403545,0.008,1.368,1.397,200,3
5843,1168,1774346081808023154,1774346081808032939,1774346081809498042,1774346081809537721,0.010,1.465,1.515,200,3
5844,1169,1774346081815104594,1774346081815113470,1774346081816939997,1774346081816987379,0.009,1.827,1.883,200,3
5845,1170,1774346081820853420,1774346081820863702,1774346081821961348,1774346081821983148,0.010,1.098,1.130,200,3
5846,1171,1774346081824207205,1774346081824213852,1774346081824813264,1774346081824828428,0.007,0.599,0.621,200,3
5847,1173,1774346081829204190,1774346081829211724,1774346081830299343,1774346081830318701,0.008,1.088,1.115,200,3
5848,1172,1774346081830756841,1774346081830761131,1774346081831564434,1774346081831665338,0.004,0.803,0.908,200,3
5849,1174,1774346081838840719,1774346081838849870,1774346081840178163,1774346081840197532,0.009,1.328,1.357,200,3
5850,1176,1774346081840619768,1774346081840623889,1774346081841498488,1774346081841560558,0.004,0.875,0.941,200,3
5851,1175,1774346081851191661,1774346081851200147,1774346081852747102,1774346081852767084,0.008,1.547,1.575,200,3
5852,1177,1774346081853201187,1774346081853205150,1774346081853607477,1774346081853614536,0.004,0.402,0.413,200,3
5853,1179,1774346081863654023,1774346081863663258,1774346081864131799,1774346081864146984,0.009,0.469,0.493,200,3
5854,1178,1774346081866932993,1774346081866938361,1774346081868024701,1774346081868048466,0.005,1.086,1.116,200,3
5855,1180,1774346081871943160,1774346081871950335,1774346081872914024,1774346081872931565,0.007,0.964,0.988,200,3
5856,1182,1774346081884914998,1774346081884923060,1774346081885682267,1774346081885698456,0.008,0.759,0.784,200,3
5857,1181,1774346081900128195,1774346081900141859,1774346081901170968,1774346081901177847,0.014,1.029,1.050,200,3
5858,1185,1774346081910379349,1774346081910386979,1774346081911902465,1774346081911927985,0.008,1.515,1.549,200,3
5859,1183,1774346081916360781,1774346081916368696,1774346081917337837,1774346081917348373,0.008,0.969,0.988,200,3
5860,1184,1774346081917570744,1774346081917573587,1774346081918633192,1774346081918642787,0.003,1.060,1.072,200,3
5861,1186,1774346081933355966,1774346081933362613,1774346081933924365,1774346081933930895,0.007,0.562,0.575,200,3
5862,1187,1774346081934355974,1774346081934359852,1774346081935604422,1774346081935621339,0.004,1.245,1.265,200,3
5863,1188,1774346081965618367,1774346081965629516,1774346081966430969,1774346081966452875,0.011,0.801,0.835,200,3
5864,1189,1774346081992538455,1774346081992544415,1774346081992640331,1774346081992646936,0.006,0.096,0.108,200,3
5865,1190,1774346082007975494,1774346082007983250,1774346082008338629,1774346082008357776,0.008,0.355,0.382,200,3
5866,1191,1774346082014942980,1774346082014948348,1774346082015487159,1774346082015493933,0.005,0.539,0.551,200,3
5867,1192,1774346082025521461,1774346082025531711,1774346082026772266,1774346082026798198,0.010,1.241,1.277,200,3
5868,1194,1774346082030479692,1774346082030486096,1774346082031186614,1774346082031202369,0.006,0.701,0.723,200,3
5869,1195,1774346082037024308,1774346082037029063,1774346082038082888,1774346082038098559,0.005,1.054,1.074,200,3
5870,1193,1774346082048331591,1774346082048343183,1774346082048729068,1774346082048743228,0.012,0.386,0.412,200,3
5871,1196,1774346082055067141,1774346082055076451,1774346082055535523,1774346082055548848,0.009,0.459,0.482,200,3
5872,1197,1774346082058054600,1774346082058061109,1774346082058971277,1774346082059080043,0.007,0.910,1.025,200,3
5873,1198,1774346082067103679,1774346082067208821,1774346082068327839,1774346082068347092,0.105,1.119,1.243,200,3
5874,1199,1774346082069099372,1774346082069104043,1774346082073738943,1774346082073840281,0.005,4.635,4.741,200,3
5875,1200,1774346082093301534,1774346082093308212,1774346082095014983,1774346082095041083,0.007,1.707,1.740,200,3
5876,1201,1774346082098930493,1774346082098937404,1774346082099885580,1774346082099905985,0.007,0.948,0.976,200,3
5877,1202,1774346082102830597,1774346082102836018,1774346082104074184,1774346082104087953,0.005,1.238,1.257,200,3
5878,1203,1774346082112553179,1774346082112558874,1774346082114355951,1774346082114386743,0.006,1.797,1.834,200,3
5879,1204,1774346082120625460,1774346082120631472,1774346082120987538,1774346082121000440,0.006,0.356,0.375,200,3
5880,1205,1774346082145157597,1774346082145169738,1774346082146315106,1774346082146329603,0.012,1.145,1.172,200,3
5881,1206,1774346082157462974,1774346082157470678,1774346082158457255,1774346082158471446,0.008,0.987,1.008,200,3
5882,1207,1774346082165803133,1774346082165808359,1774346082167715122,1774346082167744157,0.005,1.907,1.941,200,3
5883,1208,1774346082180162201,1774346082180168378,1774346082181514122,1774346082181523899,0.006,1.346,1.362,200,3
5884,1209,1774346082187669572,1774346082187677290,1774346082188237517,1774346082188254030,0.008,0.560,0.585,200,3
5885,1211,1774346082201890629,1774346082201899476,1774346082203318272,1774346082203347856,0.009,1.419,1.457,200,3
5886,1210,1774346082210879368,1774346082210887646,1774346082211233226,1774346082211296300,0.008,0.346,0.417,200,3
5887,1212,1774346082220444605,1774346082220452914,1774346082220951249,1774346082220966136,0.008,0.498,0.522,200,3
5888,1213,1774346082227022925,1774346082227028046,1774346082228582240,1774346082228603419,0.005,1.554,1.581,200,3
5889,1214,1774346082235136683,1774346082235178895,1774346082236546864,1774346082236566227,0.042,1.368,1.430,200,3
5890,1215,1774346082241202213,1774346082241209520,1774346082242345642,1774346082242361395,0.007,1.136,1.159,200,3
5891,1216,1774346082270700888,1774346082270708352,1774346082271040375,1774346082271053478,0.007,0.332,0.353,200,3
5892,1217,1774346082292598832,1774346082292606634,1774346082293679767,1774346082293691465,0.008,1.073,1.093,200,3
5893,1219,1774346082298465446,1774346082298472922,1774346082299078264,1774346082299087777,0.007,0.605,0.622,200,3
5894,1218,1774346082309468938,1774346082309479454,1774346082310656342,1774346082310700073,0.010,1.177,1.231,200,3
5895,1220,1774346082311284341,1774346082311289863,1774346082311923660,1774346082311938937,0.006,0.634,0.655,200,3
5896,1221,1774346082315316401,1774346082315321881,1774346082316325044,1774346082316350025,0.005,1.003,1.034,200,3
5897,1222,1774346082346629354,1774346082346637790,1774346082347290106,1774346082347304528,0.008,0.652,0.675,200,3
5898,1223,1774346082351500972,1774346082351574700,1774346082352602791,1774346082352619399,0.074,1.028,1.118,200,3
